province,year,gdp_100m,ind2_100m,ind3_100m,population_10k,urban_pop_10k,rural_pop_10k,broadband_users,mobile_internet_users,co2_total,coal_emissions,coal_share,software_revenue,digital_core_industry_share,co2_approx,green_certificate_volume,charging_infrastructure,express_delivery_revenue,high_tech_industry_share,optical_cable_length,aqi_good_rate,electricity_market_volume,green_power_trade_volume,iot_terminal_users,5g_base_stations,renewable_installation_share,pgdp,pgdp_ln,urban_rate,ind2_share,carbon_intensity,carbon_intensity_ln,co2_total_ln,carbon_per_capita,carbon_per_capita_ln,energy_digital_index,energy_digital_index_100,energy_digital_index_pca,energy_digital_index_pca_100
吉林,2018.0,11437.4,4051.5,6225.1,2484.0,1512.0,972.0,588.2,2366.22,193.87150336666667,154.3785287,0.7962930395604654,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,46044.28341384863,10.73735889529897,0.6086956521739131,0.3542326053123962,0.01695066215806623,-4.077448380546071,5.267195585830085,7.804810924584005,2.054740328764807,0.002328934603965183,0.2328934603965183,0.12074682350759544,12.074682350759543
吉林,2019.0,11949.4,4162.0,6500.1,2448.0,1509.0,939.0,618.3,2304.81,197.76544078653333,153.4585547,0.7759624436386847,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,48812.90849673202,10.795750075238077,0.616421568627451,0.34830200679532025,0.016550240245245228,-4.101354660935409,5.287081685958702,8.078653626900872,2.089225228314577,0.002358007011514924,0.2358007011514924,0.12154603381304618,12.154603381304618
吉林,2020.0,12499.5,4337.3,6609.1,2399.0,1503.0,896.0,654.2,2445.03,184.39403399999998,147.3429723333333,0.7990658327553771,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,52102.95956648604,10.86097703162686,0.6265110462692789,0.34699787991519665,0.014752112804512179,-4.2163689654704415,5.217074957019929,7.686287369737389,2.039437880168326,0.002528059146415244,0.2528059146415244,0.13035580246055165,13.035580246055165
吉林,2021.0,13431.1,4713.7,7163.4,2375.0,1505.0,870.0,734.2,2454.55,190.88400696739998,150.99596453333334,0.7910351785475725,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,56552.0,10.94291584785079,0.6336842105263157,0.3509541288502058,0.014212090369917578,-4.253662242138424,5.2516659502049245,8.037221345995789,2.084083419724275,0.002714876656924929,0.27148766569249294,0.13883753337954688,13.883753337954689
吉林,2022.0,13121.4,4274.9,7157.4,2348.0,1496.0,852.0,779.2,2429.8,185.16379839333334,142.31519206666667,0.7685908006939579,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,55883.30494037479,10.931020955150528,0.637137989778535,0.3257960278628805,0.014111588579978762,-4.260758934055755,5.221240830066578,7.886022078080637,2.0650918351066823,0.002800868999983994,0.28008689999839936,0.1425004859775565,14.250048597755649
黑龙江,2016.0,12280.9,3689.7,5839.9,3463.0,2116.0,1347.0,575.0,2510.91,365.3735831466667,279.4001514333333,0.7646971875390829,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,35463.182211954954,10.476250316491601,0.6110308980652613,0.3004421500052928,0.029751368641277653,-3.5148801432998558,5.900920345617984,10.55078207180672,2.3561999872036536,0.002390867904058654,0.2390867904058654,0.12473049832121903,12.473049832121903
黑龙江,2017.0,12659.5,3519.5,6174.8,3399.0,2104.0,1295.0,664.6,2858.68,355.3259442333334,281.5561565666667,0.7923884003859172,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,37244.77787584584,10.525267022727533,0.6190055898793763,0.27801255973774636,0.028067928767592197,-3.5731276794465265,5.873035521000939,10.453837723840348,2.3469691572929148,0.0028138962106907524,0.2813896210690752,0.1466373551656447,14.663735516564468
黑龙江,2018.0,13205.7,3536.0,6668.6,3327.0,2111.0,1216.0,810.7,2894.93,338.7876926666666,275.74326119999995,0.8139116832419999,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,39692.515779981964,10.588917929507346,0.6345055605650737,0.2677631628766366,0.025654656145957168,-3.663030197681064,5.825373635868577,10.182978439034164,2.3207175458381917,0.0031670352485948148,0.3167035248594815,0.16282141354178473,16.282141354178474
黑龙江,2019.0,13962.5,3668.0,7111.3,3255.0,2103.0,1152.0,848.3,2901.75,341.1395670333334,277.85947676666666,0.8145038090510225,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,42895.545314900155,10.666523260710969,0.6460829493087558,0.26270367054610566,0.024432556278125937,-3.711838762341435,5.832291681036021,10.480478249871993,2.349514312381443,0.003256327051478633,0.3256327051478633,0.16689415738962782,16.689415738962783
黑龙江,2020.0,14000.1,3454.7,7100.3,3171.0,2080.0,1091.0,886.3,2980.34,336.88890720000006,269.07031213333335,0.798691516350804,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,44150.42573320719,10.695357848866864,0.6559444970040996,0.2467625231248348,0.024063321490560785,-3.727066527649425,5.819753223779603,10.624058883632925,2.3631211352293477,0.003392039086926019,0.33920390869260186,0.17364906835480698,17.3649068354807
黑龙江,2021.0,15292.8,4082.3,7746.6,3125.0,2053.0,1072.0,1013.5,3093.93,358.5109225066667,288.2259853,0.8039531495575013,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,48936.96,10.79828821818952,0.65696,0.2669426135174723,0.02344311849410616,-3.7531782815651384,5.881959126818701,11.472349520213335,2.4399397506362903,0.003751517672069416,0.3751517672069416,0.19075861186102777,19.075861186102777
黑龙江,2022.0,16359.2,4549.5,8174.4,3099.0,2052.0,1047.0,1130.4,3136.9,354.37733019999996,285.4345912,0.8054538676018278,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,52788.64149725718,10.87405132339404,0.6621490803484995,0.2781003961073891,0.021662265281920872,-3.832183459224925,5.87036224998068,11.435215559858019,2.436697678181023,0.004042933832216999,0.4042933832216999,0.20422206027331266,20.422206027331267
上海,2016.0,30963.9,8570.2,22279.3,2467.0,2196.0,271.0,635.7,2662.29,158.2252263866667,66.03337950000001,0.41733787340982753,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,125512.36319416296,11.74015954420931,0.8901499797324686,0.2767803797325272,0.005109990226898636,-5.276557787312651,5.064019501449833,6.413669492771248,1.858431570908568,0.002624039465164152,0.2624039465164152,0.13647173021514342,13.647173021514341
上海,2017.0,34378.3,9525.9,24741.6,2466.0,2197.0,269.0,681.3,3393.14,156.57804983333335,64.42917030000001,0.4114827740451517,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,139409.16463909167,11.845168518613061,0.8909164639091647,0.2770904902220296,0.004554560575518084,-5.391626223721169,5.053554606639998,6.349474851311165,1.8483721089037999,0.003190587059597828,0.3190587059597828,0.16800568951992015,16.800568951992016
