,上海,云南,内蒙古,北京,吉林,四川,天津,宁夏,安徽,山东,山西,广东,广西,新疆,江苏,江西,河北,河南,浙江,海南,湖北,湖南,甘肃,福建,贵州,辽宁,重庆,陕西,青海,黑龙江
湖北,0.03686743304909203,0.019562758059873456,0.021853299597974513,0.024073343399686004,0.014389437762213688,0.025865070152384408,0.025851815166758052,0.02209866580914709,0.08185952766380199,0.03509036832691545,0.03071268746723669,0.030303124882925123,0.024222796829643314,0.009169919818738171,0.05548923726685274,0.09743184274525336,0.030574018204149192,0.05435524784259886,0.04513171275018486,0.020409972332642395,0.0,0.08609289977013086,0.02210032931278467,0.03617513844213994,0.02930092232331093,0.01701260564823398,0.03358170517210694,0.03878774645088656,0.01894120658350874,0.012695167168825797
湖南,0.0320110408742127,0.026442006142950666,0.020265817383710364,0.021284869265063042,0.013844259009578285,0.03168947847614423,0.02241192916696812,0.021906237354148393,0.04953716861056471,0.028027290651062943,0.02652140333593923,0.05009783205820358,0.037611065890739474,0.01001531802458962,0.04029510604931282,0.09817711683365053,0.025836275706885355,0.0390974252509115,0.03864741989752821,0.029933114753329357,0.09665572115773756,0.0,0.02329794244165092,0.04227900428255671,0.04437152837180496,0.01595278260595867,0.04451403313772548,0.036543090057235855,0.02031184403207227,0.012421879177764605
甘肃,0.018636100220469787,0.026012242367551276,0.03676917134070555,0.02708082434229324,0.015855464855250714,0.05239729618592762,0.026126771345828977,0.09307890949058933,0.024206401875843372,0.02685279079027867,0.03997088519597341,0.018809879077339164,0.02082557287445647,0.01970503018498169,0.0221054024142156,0.02294148207976523,0.03290484934447812,0.03555972723764939,0.019427446473572745,0.016897749013954123,0.027897866388132162,0.026195674375750603,0.0,0.017378217592317377,0.029373802234187465,0.017702662347488747,0.041771912282844624,0.06369323349879515,0.165205040612324,0.014617593957035305
福建,0.06062896601858928,0.022242059851104855,0.02082091265911744,0.02374561126629011,0.01811230161814238,0.023596997243055348,0.025392226976471692,0.02010535166853984,0.055333816159701246,0.031044007925400526,0.025443064434625122,0.0535565616461984,0.03185140245786399,0.010706468851981475,0.05554160905432382,0.08302875506890535,0.026379621765553623,0.033497350930549175,0.07786374103114359,0.03258466245121675,0.052909303331881326,0.05507904002942013,0.020135148043603415,0.0,0.02953955236450733,0.020710435003508512,0.02826972166430298,0.02738981531489089,0.018262252485141767,0.01622924268396962
贵州,0.022193963684984056,0.0777412622849169,0.02051910051058669,0.019549525363571168,0.013309164925737168,0.06590185241583828,0.019935154566774006,0.025553772811900546,0.02883034180553501,0.02272621814521129,0.024721429669477473,0.04431318537365269,0.07517558010012683,0.01316902198094175,0.025661661329592494,0.03638773865176326,0.023050690796997172,0.030158905330928968,0.024600058295034907,0.041408862248684467,0.039143925512006086,0.05279918803112608,0.03108644122456979,0.026981441831599225,0.0,0.01485778863451405,0.1019193753090279,0.03808057153241732,0.02798964564647887,0.012234131986005507
辽宁,0.032917807894398486,0.014686765194792631,0.03993979483679732,0.06238866024976014,0.14401416070894832,0.01835517797762208,0.06439331456909987,0.026000942262376824,0.03157801597782812,0.049564470314521276,0.0381392497951854,0.017153730274501833,0.015445624692231243,0.013458589921737445,0.03376895717956884,0.02428170924098122,0.04508244559246129,0.03373519975374523,0.029784189479716405,0.014393946236818918,0.026269023237160318,0.02194064077059231,0.02165406472183525,0.021864546260001363,0.017172921319137814,0.0,0.019211018997621378,0.025868684768250185,0.02010219220875272,0.07683415556355574
重庆,0.021457497160951387,0.04913027020883168,0.023135126169747867,0.02121427264103906,0.013483529948883145,0.11713291777553624,0.021500626168942293,0.031167461610891373,0.02944883107744893,0.024565007749439642,0.028732838604916978,0.031607505224497706,0.04010117827624976,0.013432191607449868,0.02575935544171803,0.034037872806264566,0.025904346737478424,0.03515122948169269,0.023575924690163442,0.027440312745665565,0.041001118149323425,0.048409396817102636,0.040402205065526164,0.023598948224514936,0.09314651784948849,0.015190437009132075,0.0,0.05361633767934082,0.034329067320188617,0.012327675757574185
陕西,0.023899510185753498,0.02439859435894003,0.03829676978243837,0.032222539516991396,0.016594042631733957,0.047047770946230194,0.03223406258863366,0.05602436571638101,0.035530065352621355,0.03723611310037611,0.05732535172292318,0.022173828423688223,0.02274525672072514,0.013822849342213294,0.03067444111241579,0.03211514101047037,0.04509745390266665,0.06761824129181683,0.025476428576230208,0.018249641275112916,0.04465255048014656,0.0374711274624986,0.058086174387451874,0.02155852206586798,0.03281497628687948,0.01928648044206142,0.050554045111355125,0.0,0.0419263079047275,0.014867348300649532
青海,0.01890050232465685,0.027966702217925885,0.0366919305977795,0.027197950466418656,0.016829486284467607,0.05120688670590692,0.02615232128863422,0.08125009515454852,0.023817413321948106,0.026388223138747707,0.037473011698657764,0.019389675850443835,0.021739275775616372,0.025057322073898238,0.02200366672207893,0.022788696038418627,0.03178630778231555,0.03312746599381826,0.019608622917394573,0.01782545947700847,0.02697052879301701,0.025761487979468863,0.186351490122655,0.017779286250964286,0.029832945570485287,0.01853754218786756,0.04003601735701521,0.05185811399508563,0.0,0.015671571912756543
黑龙江,0.029105096292338085,0.015534617066309224,0.0369274203880804,0.04614628189206611,0.20364946487721042,0.018897182572675218,0.0455176708441845,0.02621825855698109,0.02789560765157951,0.03791580084066523,0.03347572863944538,0.0174796526756341,0.016056711732563296,0.015952041155463986,0.02928663078222831,0.02299935522267132,0.03699840159967601,0.02965428347448831,0.026948043949094943,0.015110996946069925,0.0244328564305241,0.02129427656155111,0.02228637676056215,0.021355622352111903,0.017624868904796594,0.09576725782575912,0.01943229370734819,0.02485522007332512,0.021181980224596563,0.0
